title,name,ticker
Walmart,"Wal-Mart Stores, Inc.",WMT
Berkshire Hathaway,Berkshire Hathaway Inc.,BRKA
Apple,"Apple, Inc.",AAPL
Exxon Mobil,Exxon Mobil Corporation,XOM
McKesson,McKesson Corporation,MCK
UnitedHealth Group,UnitedHealth Group Incorporated,UNH
CVS Health,CVS Health Corporation,CVS
General Motors,General Motors Company,GM
AT&T,AT&T Inc.,T
Ford Motor,Ford Motor Company,F
AmerisourceBergen,AmerisourceBergen Corp.,ABC
Amazon.com,"Amazon.com, Inc.",AMZN
General Electric,General Electric Company,GE
Verizon,Verizon Communications Inc.,VZ
Cardinal Health,"Cardinal Health, Inc.",CAH
Costco,Costco Wholesale Corporation,COST
Walgreens Boots Alliance,"Walgreens Boots Alliance, Inc",WBA
Kroger,The Kroger Company,KR
Chevron,Chevron Corporation,CVX
Fannie Mae,Fannie Mae,FNMA
J.P. Morgan Chase,JPMorgan Chase & Co.,JPM
Express Scripts Holding,Express Scripts Holding Company,ESRX
Home Depot,"The Home Depot, Inc.",HD
Boeing,The Boeing Company,BA
Wells Fargo,Wells Fargo & Company,WFC
Bank of America Corp.,Bank of America Corporation,BAC
Alphabet,Alphabet Inc.,GOOGL
Microsoft,Microsoft Corporation,MSFT
Anthem,"Anthem, Inc.",ANTM
Citigroup,Citigroup Inc.,C
Comcast,Comcast Corporation,CMCSA
IBM,International Business Machines Corporation,IBM
State Farm Insurance Cos.,State Farm Insurance Cos.,NA
Phillips 66,Phillips 66,PSX
Johnson & Johnson,Johnson & Johnson,JNJ
Procter & Gamble,The Procter & Gamble Company,PG
Valero Energy,Valero Energy Corporation,VLO
Target,Target Corporation,TGT
Freddie Mac,Freddie Mac,FMCC
Lowe’s,"Lowe's Companies, Inc.",LOW
Dell Technologies,Dell Technologies Inc.,NA
MetLife,"MetLife, Inc.",MET
Aetna,Aetna Inc.,AET
PepsiCo,"PepsiCo, Inc.",PEP
Archer Daniels Midland,Archer-Daniels-Midland Company,ADM
UPS,"United Parcel Service, Inc.",UPS
Intel,Intel Corporation,INTC
Prudential Financial,"Prudential Financial, Inc.",PRU
Albertsons Cos.,"Albertsons Companies, Inc.",NA
United Technologies,United Technologies Corporation,UTX
Marathon Petroleum,Marathon Petroleum Corporation,MPC
Disney,The Walt Disney Company,DIS
Humana,Humana Inc.,HUM
Pfizer,Pfizer Inc.,PFE
AIG,"American International Group, Inc.",AIG
Lockheed Martin,Lockheed Martin Corporation,LMT
Sysco,Sysco Corporation,SYY
FedEx,FedEx Corporation,FDX
Hewlett Packard Enterprise,Hewlett Packard Enterprise Company,HPE
Cisco Systems,"Cisco Systems, Inc.",CSCO
HP,HP Inc.,HPQ
Dow Chemical,The Dow Chemical Company,DOW
HCA Holdings,"HCA Holdings, Inc.",HCA
Coca-Cola,The Coca-Cola Company,KO
New York Life Insurance,New York Life Insurance Company,NA
Centene,Centene Corporation,CNC
American Airlines Group,American Airlines Group Inc.,AAL
Nationwide,Nationwide Mutual Insurance Co.,NA
Merck,"Merck & Co., Inc.",MRK
Cigna,CIGNA Corporation,CI
Delta Air Lines,"Delta Air Lines, Inc.",DAL
Best Buy,"Best Buy Co., Inc.",BBY
Honeywell International,Honeywell International Inc.,HON
Caterpillar,Caterpillar Inc.,CAT
Liberty Mutual Insurance Group,Liberty Mutual Holding Company Inc.,NA
Morgan Stanley,Morgan Stanley,MS
Massachusetts Mutual Life Insurance,Massachusetts Mutual Life Insurance Company,NA
Goldman Sachs Group,"The Goldman Sachs Group, Inc.",GS
Energy Transfer Equity,"Energy Transfer Equity, L.P.",ETE
TIAA,Teachers Insurance and Annuity Association,NA
Oracle,Oracle Corporation,ORCL
Tyson Foods,"Tyson Foods, Inc.",TSN
United Continental Holdings,"United Continental Holdings, Inc.",UAL
Allstate,The Allstate Corporation,ALL
Publix Super Markets,"Publix Super Markets, Inc.",NA
American Express,American Express Company,AXP
TJX,"The TJX Companies, Inc.",TJX
Nike,"Nike, Inc.",NKE
Exelon,Exelon Corporation,EXC
General Dynamics,General Dynamics Corporation,GD
Rite Aid,Rite Aid Corporation,RAD
Gilead Sciences,"Gilead Sciences, Inc.",GILD
CHS,CHS Inc.,NA
3M,3M Company,MMM
Time Warner,Time Warner Inc.,TWX
Charter Communications,"Charter Communications, Inc.",CHTR
Northwestern Mutual,"Northwestern Mutual Life Insurance Company, Inc.",NA
Facebook,"Facebook, Inc.",FB
Travelers Cos.,"The Travelers Companies, Inc.",TRV
Capital One Financial,Capital One Financial Corporation,COF
Twenty-First Century Fox,"Twenty-First Century Fox, Inc.",FOXA
USAA,United Services Automobile Association,NA
World Fuel Services,World Fuel Services Corporation,INT
Philip Morris International,Philip Morris International Inc.,PM
Deere,Deere & Company,DE
Kraft Heinz,The Kraft Heinz Company,KHC
Tech Data,Tech Data Corporation,TECD
Avnet,"Avnet, Inc.",AVT
Mondelez International,"Mondelez International, Inc.",MDLZ
Macy’s,"Macy's, Inc.",M
AbbVie,AbbVie Inc.,ABBV
McDonald’s,McDonald's Corporation,MCD
DuPont,E.I. du Pont de Nemours and Company,DD
Northrop Grumman,Northrop Grumman Corporation,NOC
ConocoPhillips,ConocoPhillips,COP
Raytheon,Raytheon Company,RTN
Tesoro,Tesoro Corporation,TSO
Arrow Electronics,"Arrow Electronics, Inc",ARW
Qualcomm,Qualcomm Incorporated,QCOM
Progressive,The Progressive Corporation,PGR
Duke Energy,Duke Energy Corporation,DUK
Enterprise Products Partners,Enterprise Products Partners L.P.,EPD
Amgen,Amgen Inc.,AMGN
US Foods Holding,US Foods Holding Corp.,USFD
U.S. Bancorp,U.S. Bancorp,USB
Aflac,Aflac Incorporated,AFL
Sears Holdings,Sears Holdings Corporation,SHLD
Dollar General,Dollar General Corporation,DG
AutoNation,"AutoNation, Inc.",AN
Community Health Systems,"Community Health Systems, Inc.",CYH
Starbucks,Starbucks Corporation,SBUX
Eli Lilly,Eli Lilly and Company,LLY
International Paper,International Paper Company,IP
Tenet Healthcare,Tenet Healthcare Corporation,THC
Abbott Laboratories,Abbott Laboratories,ABT
Dollar Tree,"Dollar Tree, Inc.",DLTR
Whirlpool,Whirlpool Corporation,WHR
Southwest Airlines,Southwest Airlines Co.,LUV
Emerson Electric,Emerson Electric Co.,EMR
Staples,"Staples, Inc.",SPLS
Plains GP Holdings,"Plains GP Holdings, L.P.",PAGP
Penske Automotive Group,"Penske Automotive Group, Inc.",PAG
Union Pacific,Union Pacific Corporation,UNP
Danaher,Danaher Corporation,DHR
Southern,The Southern Company,SO
ManpowerGroup,ManpowerGroup Inc.,MAN
Bristol-Myers Squibb,Bristol-Myers Squibb Company,BMY
Altria Group,"Altria Group, Inc.",MO
Fluor,Fluor Corporation,FLR
Kohl’s,Kohl's Corporation,KSS
Lear,Lear Corporation,LEA
Jabil Circuit,"Jabil Circuit, Inc.",JBL
Hartford Financial Services Group,"The Hartford Financial Services Group, Inc.",HIG
Thermo Fisher Scientific,Thermo Fisher Scientific Inc.,TMO
Kimberly-Clark,Kimberly-Clark Corporation,KMB
Molina Healthcare,"Molina Healthcare, Inc.",MOH
PG&E Corp.,PG&E Corporation,PCG
Supervalu,Supervalu Inc.,SVU
Cummins,Cummins Inc.,CMI
CenturyLink,"CenturyLink, Inc.",CTL
AECOM,AECOM,ACM
Xerox,Xerox Corporation,XRX
Marriott International,"Marriott International, Inc.",MAR
Paccar,PACCAR Inc,PCAR
General Mills,"General Mills, Inc.",GIS
PNC Financial Services Group,"The PNC Financial Services Group, Inc.",PNC
