tag,date,question_count,question_pct,unanswered_count,unanswered_pct
paypal,9/25/2018,18050,0.001093757,8402,0.001751857
amazon-elb,9/25/2018,1452,8.80E-05,561,1.17E-04
amazon-mws,9/25/2018,706,4.28E-05,278,5.80E-05
amazon-swf,9/25/2018,232,1.41E-05,77,1.61E-05
amazon-sns,9/25/2018,1400,8.48E-05,601,1.25E-04
excel,9/25/2018,177603,0.010762031,61804,0.012886449
mongodb,9/25/2018,104159,0.00631162,36543,0.007619406
amazon-glacier,9/25/2018,192,1.16E-05,59,1.23E-05
amazon-route53,9/25/2018,1098,6.65E-05,389,8.11E-05
dropbox,9/25/2018,3071,1.86E-04,1169,2.44E-04
azure,9/25/2018,61259,0.003712048,21114,0.004402372
sql-server,9/25/2018,242484,0.014693559,60854,0.012688369
amazon-cloudwatch,9/25/2018,1165,7.06E-05,496,1.03E-04
amazon-redshift,9/25/2018,3502,2.12E-04,1265,2.64E-04
amazon-cognito,9/25/2018,2830,1.71E-04,1200,2.50E-04
amazon-dynamodb,9/25/2018,5985,3.63E-04,2178,4.54E-04
ios9,9/25/2018,4183,2.53E-04,1580,3.29E-04
amazon-sqs,9/25/2018,1584,9.60E-05,560,1.17E-04
dropbox-api,9/25/2018,2072,1.26E-04,831,1.73E-04
amazon-ses,9/25/2018,934,5.66E-05,353,7.36E-05
amazon-emr,9/25/2018,3046,1.85E-04,1241,2.59E-04
citrix,9/25/2018,597,3.62E-05,292,6.09E-05
amazon-elastic-beanstalk,9/25/2018,5490,3.33E-04,2219,4.63E-04
amazon-rds,9/25/2018,2537,1.54E-04,1026,2.14E-04
amazon-rds-aurora,9/25/2018,323,1.96E-05,148,3.09E-05
android,9/25/2018,1138658,0.068998168,424953,0.088604937
amazon-cloudformation,9/25/2018,2516,1.52E-04,888,1.85E-04
ios,9/25/2018,577421,0.034989527,189226,0.039454749
android-pay,9/25/2018,490,2.97E-05,221,4.61E-05
applepay,9/25/2018,357,2.16E-05,174,3.63E-05
windows,9/25/2018,124751,0.007559411,38967,0.008124818
amazon-web-services,9/25/2018,63939,0.003874457,25149,0.005243707
google-spreadsheet,9/25/2018,15685,9.50E-04,5978,0.001246445
amazon-cloudfront,9/25/2018,2264,1.37E-04,885,1.85E-04
amazon-lambda,9/25/2018,8032,4.87E-04,8032,0.001674715
amazon-cloudsearch,9/25/2018,318,1.93E-05,134,2.79E-05
amazon-ecs,9/25/2018,1074,6.51E-05,507,1.06E-04
amazon-s3,9/25/2018,25443,0.001541747,10022,0.002089641
amazon-elasticache,9/25/2018,434,2.63E-05,179,3.73E-05
amazon-simpledb,9/25/2018,392,2.38E-05,78,1.63E-05
amazon-data-pipeline,9/25/2018,399,2.42E-05,196,4.09E-05
amazon-ec2,9/25/2018,22755,0.001378865,8499,0.001772089
amazon-ebs,9/25/2018,338,2.05E-05,54,1.13E-05
ios8,9/25/2018,9399,5.70E-04,3213,6.70E-04
amazon-kinesis,9/25/2018,766,4.64E-05,380,7.92E-05
cognos,9/25/2018,848,5.14E-05,378,7.88E-05
actionscript,9/25/2018,9101,5.51E-04,2444,5.10E-04
amazon,9/25/2018,3636,2.20E-04,1409,2.94E-04
osx,9/25/2018,87485,0.005301258,87485,0.018241129
stripe-payments,9/25/2018,4964,3.01E-04,1799,3.75E-04
actionscript-3,9/25/2018,41149,0.002493471,11027,0.002299191
amazon-vpc,9/25/2018,719,4.36E-05,215,4.48E-05
applepayjs,9/25/2018,30,1.82E-06,19,3.96E-06
paypal,9/24/2018,18042,0.001093744,8395,0.00175155
stripe-payments,9/24/2018,4960,3.01E-04,1796,3.75E-04
amazon-elb,9/24/2018,1450,8.79E-05,559,1.17E-04
amazon-swf,9/24/2018,232,1.41E-05,77,1.61E-05
osx,9/24/2018,87467,0.005302453,87467,0.01824935
amazon-mws,9/24/2018,706,4.28E-05,278,5.80E-05
android,9/24/2018,1138256,0.069003605,424750,0.088620798
amazon-sns,9/24/2018,1397,8.47E-05,598,1.25E-04
amazon-cloudfront,9/24/2018,2264,1.37E-04,886,1.85E-04
mongodb,9/24/2018,104092,0.006310283,36507,0.007616903
ios8,9/24/2018,9399,5.70E-04,3213,6.70E-04
amazon-lambda,9/24/2018,8008,4.85E-04,8008,0.001670805
amazon-cloudsearch,9/24/2018,318,1.93E-05,134,2.80E-05
amazon,9/24/2018,3635,2.20E-04,1408,2.94E-04
excel,9/24/2018,177502,0.010760557,61754,0.012884486
amazon-web-services,9/24/2018,63876,0.003872309,25116,0.005240268
amazon-ebs,9/24/2018,338,2.05E-05,54,1.13E-05
amazon-ec2,9/24/2018,22740,0.001378551,8491,0.001771584
amazon-glacier,9/24/2018,192,1.16E-05,59,1.23E-05
dropbox,9/24/2018,3070,1.86E-04,1169,2.44E-04
amazon-simpledb,9/24/2018,392,2.38E-05,78,1.63E-05
sql-server,9/24/2018,242382,0.014693721,60815,0.012688573
azure,9/24/2018,61205,0.003710378,21091,0.00440047
amazon-elasticache,9/24/2018,434,2.63E-05,179,3.73E-05
amazon-ecs,9/24/2018,1072,6.50E-05,507,1.06E-04
applepayjs,9/24/2018,30,1.82E-06,19,3.96E-06
amazon-cloudwatch,9/24/2018,1163,7.05E-05,494,1.03E-04
amazon-cognito,9/24/2018,2826,1.71E-04,1198,2.50E-04
amazon-redshift,9/24/2018,3495,2.12E-04,1262,2.63E-04
ios9,9/24/2018,4184,2.54E-04,1580,3.30E-04
amazon-dynamodb,9/24/2018,5979,3.62E-04,2173,4.53E-04
applepay,9/24/2018,357,2.16E-05,174,3.63E-05
amazon-sqs,9/24/2018,1582,9.59E-05,558,1.16E-04
cognos,9/24/2018,848,5.14E-05,379,7.91E-05
amazon-s3,9/24/2018,25426,0.001541382,10013,0.002089138
dropbox-api,9/24/2018,2071,1.26E-04,830,1.73E-04
amazon-emr,9/24/2018,3045,1.85E-04,1241,2.59E-04
amazon-cloudformation,9/24/2018,2514,1.52E-04,889,1.85E-04
amazon-kinesis,9/24/2018,765,4.64E-05,379,7.91E-05
amazon-ses,9/24/2018,932,5.65E-05,353,7.37E-05
google-spreadsheet,9/24/2018,15669,9.50E-04,5971,0.001245802
citrix,9/24/2018,597,3.62E-05,292,6.09E-05
amazon-vpc,9/24/2018,718,4.35E-05,214,4.46E-05
actionscript-3,9/24/2018,41148,0.002494486,11027,0.002300701
amazon-elastic-beanstalk,9/24/2018,5488,3.33E-04,2218,4.63E-04
ios,9/24/2018,577252,0.034994365,189163,0.039467485
amazon-rds,9/24/2018,2536,1.54E-04,1028,2.14E-04
amazon-rds-aurora,9/24/2018,323,1.96E-05,149,3.11E-05
amazon-data-pipeline,9/24/2018,399,2.42E-05,196,4.09E-05
actionscript,9/24/2018,9100,5.52E-04,2443,5.10E-04
android-pay,9/24/2018,490,2.97E-05,221,4.61E-05
amazon-route53,9/24/2018,1098,6.66E-05,390,8.14E-05
windows,9/24/2018,124719,0.007560735,38948,0.008126193
ios,9/23/2018,577184,0.034998091,189133,0.039474066
amazon-web-services,9/23/2018,63852,0.003871724,25109,0.005240516
amazon-cloudformation,9/23/2018,2513,1.52E-04,889,1.86E-04
dropbox-api,9/23/2018,2071,1.26E-04,830,1.73E-04
amazon-lambda,9/23/2018,8004,4.85E-04,8004,0.001670517
ios8,9/23/2018,9400,5.70E-04,3213,6.71E-04
amazon-kinesis,9/23/2018,763,4.63E-05,377,7.87E-05
amazon-vpc,9/23/2018,718,4.35E-05,214,4.47E-05
applepay,9/23/2018,357,2.16E-05,174,3.63E-05
amazon-simpledb,9/23/2018,392,2.38E-05,78,1.63E-05
amazon-cloudwatch,9/23/2018,1163,7.05E-05,494,1.03E-04
amazon-dynamodb,9/23/2018,5974,3.62E-04,2171,4.53E-04
amazon-ses,9/23/2018,931,5.65E-05,352,7.35E-05
citrix,9/23/2018,597,3.62E-05,292,6.09E-05
amazon-elastic-beanstalk,9/23/2018,5487,3.33E-04,2218,4.63E-04
amazon-rds,9/23/2018,2534,1.54E-04,1028,2.15E-04
android-pay,9/23/2018,490,2.97E-05,221,4.61E-05
windows,9/23/2018,124696,0.007561037,38937,0.008126533
amazon-cloudfront,9/23/2018,2263,1.37E-04,886,1.85E-04
amazon-cloudsearch,9/23/2018,318,1.93E-05,134,2.80E-05
android,9/23/2018,1137984,0.069002576,424603,0.088618897
amazon-glacier,9/23/2018,192,1.16E-05,59,1.23E-05
amazon-ecs,9/23/2018,1072,6.50E-05,508,1.06E-04
